7	glucose	ammonium03	060	1	059	2	059	2	056	2
7	glucose	ammonium04	060	2	060	1	059	1	058	2
7	glucose	proline	057	1	056	1	056	2	059	2
7	glucose	glutamate	057	2	056	2	056	1	060	1
7	glucose	glutamine	058	1	058	2	060	1	056	1
7	glucose	arginine	058	2	059	1	058	2	059	1
7	glucose	urea	059	1	058	1	060	2	057	2
7	glucose	allantoin	059	2	060	2	058	1	057	1
7	galactose	ammonium	061	1	062	1	062	1	062	2
7	galactose	proline	061	2	062	2	061	2	061	1
7	galactose	glutamate	062	1	061	1	061	1	061	2
7	galactose	glutamine	062	2	061	2	063	1	064	1
7	galactose	arginine	063	1	064	1	063	2	063	2
7	galactose	urea	063	2	063	2	062	2	062	1
7	galactose	allantoin	064	1	063	1	064	1	063	1
8	glucose	ammonium01	065	1	069	2	068	1	067	1
8	glucose	ammonium02	065	2	069	1	068	2	069	2
8	glucose	ammonium03	069	1	065	2	066	2	066	2
8	glucose	ammonium04	069	2	065	1	066	1	066	1
8	glucose	proline	066	1	068	2	069	1	069	1
8	glucose	glutamate	066	2	068	1	069	2	068	2
8	glucose	glutamine	067	1	067	2	067	1	068	1
8	glucose	arginine	067	2	067	1	067	2	067	2
8	glucose	urea	068	1	066	2	065	1	065	2
8	glucose	allantoin	068	2	066	1	065	2	065	1
8	galactose	ammonium	071	1	073	1	072	1	073	1
8	galactose	proline	071	2	072	2	072	2	072	2
8	galactose	glutamate	072	1	072	1	073	1	072	1
8	galactose	glutamine	072	2	071	2	070	2	070	2
8	galactose	arginine	073	1	071	1	071	1	071	2
8	galactose	urea	073	2	070	2	071	2	071	1
8	galactose	allantoin	074	1	070	1	070	1	070	1
9	glucose	ammonium01	075	1	078	2	077	2	075	1
9	glucose	ammonium02	075	2	078	1	078	1	074	2
9	glucose	ammonium03	079	1	074	2	075	2	077	1
9	glucose	ammonium04	079	2	074	1	075	1	077	2
9	glucose	proline	076	1	077	2	078	2	074	1
9	glucose	glutamate	076	2	077	1	076	1	076	2
9	glucose	glutamine	077	1	076	2	076	2	076	1
9	glucose	arginine	077	2	076	1	077	1	075	2
9	glucose	urea	078	1	075	2	074	1	078	2
9	glucose	allantoin	078	2	075	1	074	2	078	1
9	galactose	ammonium	080	1	082	1	081	1	080	1
9	galactose	proline	080	2	081	2	081	2	079	2
9	galactose	glutamate	081	1	080	2	080	2	080	2
9	galactose	glutamine	081	2	081	1	082	1	079	1
9	galactose	arginine	082	1	080	1	080	1	081	1
9	galactose	urea	082	2	079	2	079	1	082	1
9	galactose	allantoin	083	1	079	1	079	2	081	2
10	glucose	ammonium01	084	1	087	2	087	1	087	1
10	glucose	ammonium02	084	2	087	1	087	2	086	2
10	glucose	ammonium03	088	1	083	2	083	1	083	2
10	glucose	ammonium04	088	2	083	1	083	2	083	1
10	glucose	proline	085	1	086	2	085	2	085	2
10	glucose	glutamate	085	2	086	1	086	1	085	1
10	glucose	glutamine	086	1	085	2	086	2	087	2
10	glucose	arginine	086	2	085	1	084	1	084	2
10	glucose	urea	087	1	084	2	084	2	084	1
10	glucose	allantoin	087	2	084	1	085	1	086	1
10	galactose	ammonium	089	1	091	1	090	1	091	1
10	galactose	proline	089	2	090	2	090	2	090	2
10	galactose	glutamate	090	1	090	1	091	1	090	1
10	galactose	glutamine	090	2	089	2	088	1	088	2
10	galactose	arginine	091	1	089	1	088	2	088	1
10	galactose	urea	091	2	088	2	089	1	089	2
10	galactose	allantoin	092	1	088	1	089	2	089	1
11	glucose	ammonium01	093	1	097	2	097	1	093	2
11	glucose	ammonium02	093	2	097	1	096	2	094	1
11	glucose	ammonium03	097	1	093	2	093	1	097	2
11	glucose	ammonium04	097	2	093	1	093	2	097	1
11	glucose	proline	094	1	096	2	097	2	093	1
11	glucose	glutamate	094	2	096	1	095	1	095	1
11	glucose	glutamine	095	1	095	2	095	2	095	2
11	glucose	arginine	095	2	095	1	096	1	094	2
11	glucose	urea	096	1	094	2	094	2	096	1
11	glucose	allantoin	096	2	094	1	094	1	096	2
11	galactose	ammonium	098	1	101	1	100	1	099	1
11	galactose	proline	098	2	100	2	100	2	098	2
11	galactose	glutamate	099	1	100	1	101	1	098	1
11	galactose	glutamine	099	2	099	2	099	1	100	1
11	galactose	arginine	100	1	099	1	099	2	099	2
11	galactose	urea	100	2	098	2	098	1	101	1
11	galactose	allantoin	101	1	098	1	098	2	100	2
12	glucose	ammonium01	102	1	106	2	105	2	105	2
12	glucose	ammonium02	102	2	106	1	106	1	105	1
12	glucose	ammonium03	106	1	102	2	103	2	106	1
