ORF	Condition1	Condition2	x Coord	y Coord	Area	Eccentricity	Perimeter
YBR171W	galactose	glutamate	171.664087	2138.695046	646.000000	0.497172	96.083261
YJL094C	galactose	glutamate	312.476562	2135.519531	512.000000	0.687076	91.597980
YBR170C	galactose	glutamate	450.421384	2134.327044	477.000000	0.704359	85.254834
YJL078C	galactose	glutamate	588.000000	2136.000000	0.000000	0.000000	0.000000
YBR166C	galactose	glutamate	727.345494	2133.755365	466.000000	0.731769	91.840620
YJL070C	galactose	glutamate	866.525988	2133.590437	481.000000	0.757796	89.254834
YBR165W	galactose	glutamate	1004.263948	2132.590129	466.000000	0.686045	82.183766
YJL042W	galactose	glutamate	1143.829945	2133.295749	541.000000	0.735480	98.083261
YBR164C	galactose	glutamate	1278.000000	2136.000000	0.000000	0.000000	0.000000
YHR171W	galactose	glutamate	1419.779798	2132.357576	495.000000	0.731001	90.183766
YBR163W	galactose	glutamate	1558.285714	2132.212121	462.000000	0.660508	87.698485
YHR146W	galactose	glutamate	1696.782344	2133.569254	657.000000	0.732806	110.568542
YBR162W-A	galactose	glutamate	1833.890110	2132.298077	728.000000	0.708128	118.225397
YFR024C	galactose	glutamate	1972.786795	2131.951857	727.000000	0.667793	118.468037
YBR162C	galactose	glutamate	2109.963329	2131.196051	709.000000	0.669872	109.053824
YFR019W	galactose	glutamate	2248.737463	2130.203540	339.000000	0.331659	67.941125
wild-type	galactose	glutamate	2385.928049	2131.013415	820.000000	0.595113	113.396970
wild-type	galactose	glutamate	2524.068268	2130.131479	791.000000	0.632707	107.982756
YBR161W	galactose	glutamate	2662.911330	2129.503695	812.000000	0.614205	107.982756
YFL019C	galactose	glutamate	2798.937563	2130.522659	993.000000	0.494151	133.882251
YBR159W	galactose	glutamate	2934.000000	2136.000000	0.000000	0.000000	0.000000
YFL014W	galactose	glutamate	3076.098739	2128.567227	476.000000	0.395361	80.183766
YBR158W	galactose	glutamate	3215.427457	2128.945398	641.000000	0.567629	94.325902
YFL013W-A	galactose	glutamate	3348.000000	2136.000000	0.000000	0.000000	0.000000
YLR246W	galactose	glutamate	171.643349	2283.538991	872.000000	0.350588	107.740115
YGR106C	galactose	glutamate	309.505929	2279.126482	506.000000	0.577562	83.355339
YLR237W	galactose	glutamate	450.000000	2278.000000	0.000000	0.000000	0.000000
YGR093W	galactose	glutamate	587.040373	2277.484472	322.000000	0.645020	65.455844
YLR192C	galactose	glutamate	725.502849	2279.938746	702.000000	0.500914	98.669048
YGR092W	galactose	glutamate	863.077634	2278.658041	541.000000	0.469353	85.941125
YGR155W	galactose	glutamate	1001.373444	2280.858921	723.000000	0.323931	98.083261
YGR089W	galactose	glutamate	1139.908836	2280.359046	713.000000	0.191104	97.012193
YER037W	galactose	glutamate	1278.000000	2278.000000	0.000000	0.000000	0.000000
YGR086C	galactose	glutamate	1416.139535	2280.094391	731.000000	0.356934	97.840620
YER027C	galactose	glutamate	1554.302122	2278.785268	801.000000	0.402803	104.083261
YGR053C	galactose	glutamate	1694.488017	2274.281046	459.000000	0.495569	79.012193
YDR074W	galactose	glutamate	1830.480734	2275.390826	545.000000	0.538943	84.769553
YGR050C	galactose	glutamate	1969.317073	2277.504065	738.000000	0.425782	99.254834
YDR071C	galactose	glutamate	2107.715159	2276.872861	818.000000	0.359877	106.083261
YGR040W	galactose	glutamate	2245.408971	2276.267810	758.000000	0.314754	100.083261
wild-type	galactose	glutamate	2383.915612	2275.590717	711.000000	0.335166	98.083261
wild-type	galactose	glutamate	2521.937771	2275.172214	691.000000	0.399196	96.426407
YCL035C	galactose	glutamate	2660.525937	2273.005764	694.000000	0.171926	96.669048
YGR038W	galactose	glutamate	2799.315972	2271.979167	576.000000	0.135070	86.669048
YBR191W	galactose	glutamate	2938.263708	2269.569191	383.000000	0.602008	72.284271
YGR032W	galactose	glutamate	3072.000000	2278.000000	0.000000	0.000000	0.000000
YCR089W	galactose	glutamate	3212.127208	2272.247350	849.000000	0.273671	106.325902
YGR028W	galactose	glutamate	3352.509363	2269.235955	534.000000	0.633413	87.840620
