71	A	1	wild-type
71	A	2	wild-type
71	A	3	wild-type
71	A	4	wild-type
71	A	5	wild-type
71	A	6	wild-type
71	A	7	wild-type
71	A	8	wild-type
71	A	9	wild-type
71	A	10	wild-type
71	A	11	wild-type
71	A	12	wild-type
71	B	1	wild-type
71	B	2	wild-type
71	B	3	wild-type
71	B	4	wild-type
71	B	5	wild-type
71	B	6	wild-type
71	B	7	wild-type
71	B	8	wild-type
71	B	9	wild-type
71	B	10	wild-type
71	B	11	wild-type
71	B	12	wild-type
71	C	1	wild-type
71	C	2	wild-type
71	C	3	wild-type
71	C	4	wild-type
71	C	5	wild-type
71	C	6	wild-type
71	C	7	wild-type
71	C	8	wild-type
71	C	9	wild-type
71	C	10	wild-type
71	C	11	wild-type
71	C	12	wild-type
71	D	1	wild-type
71	D	2	wild-type
71	D	3	wild-type
71	D	4	wild-type
71	D	5	wild-type
71	D	6	wild-type
71	D	7	wild-type
71	D	8	wild-type
71	D	9	wild-type
71	D	10	wild-type
71	D	11	wild-type
71	D	12	wild-type
71	E	1	wild-type
71	E	2	wild-type
71	E	3	wild-type
71	E	4	wild-type
71	E	5	wild-type
71	E	6	wild-type
71	E	7	wild-type
71	E	8	wild-type
71	E	9	wild-type
71	E	10	wild-type
71	E	11	wild-type
71	E	12	wild-type
71	F	1	wild-type
71	F	2	wild-type
71	F	3	wild-type
71	F	4	wild-type
71	F	5	wild-type
71	F	6	wild-type
71	F	7	wild-type
71	F	8	wild-type
71	F	9	wild-type
71	F	10	wild-type
71	F	11	wild-type
71	F	12	wild-type
71	G	1	blank
71	G	2	wild-type
71	G	3	wild-type
71	G	4	wild-type
71	G	5	wild-type
71	G	6	wild-type
71	G	7	wild-type
71	G	8	wild-type
71	G	9	wild-type
71	G	10	wild-type
71	G	11	wild-type
71	G	12	wild-type
71	H	1	wild-type
71	H	2	blank
71	H	3	wild-type
71	H	4	wild-type
71	H	5	wild-type
71	H	6	wild-type
71	H	7	wild-type
71	H	8	wild-type
71	H	9	wild-type
71	H	10	wild-type
71	H	11	wild-type
71	H	12	wild-type
72	A	1	wild-type
72	A	2	wild-type
72	A	3	wild-type
72	A	4	wild-type
72	A	5	wild-type
72	A	6	wild-type
72	A	7	wild-type
72	A	8	wild-type
72	A	9	wild-type
72	A	10	wild-type
72	A	11	wild-type
72	A	12	wild-type
72	B	1	wild-type
72	B	2	wild-type
72	B	3	wild-type
72	B	4	wild-type
72	B	5	wild-type
72	B	6	wild-type
72	B	7	wild-type
72	B	8	wild-type
72	B	9	wild-type
72	B	10	wild-type
72	B	11	wild-type
72	B	12	wild-type
72	C	1	wild-type
72	C	2	wild-type
72	C	3	wild-type
72	C	4	wild-type
72	C	5	wild-type
72	C	6	wild-type
72	C	7	wild-type
72	C	8	wild-type
72	C	9	wild-type
72	C	10	wild-type
72	C	11	wild-type
72	C	12	wild-type
72	D	1	wild-type
72	D	2	wild-type
72	D	3	wild-type
72	D	4	wild-type
72	D	5	wild-type
72	D	6	wild-type
72	D	7	wild-type
72	D	8	wild-type
72	D	9	wild-type
72	D	10	wild-type
72	D	11	wild-type
72	D	12	wild-type
72	E	1	wild-type
